,,,,MSC25:MEF75/MSC75:MEF25,MSC50:MEF50/MSC75:MEF25,MSC25:MEF75/MSC50:MEF50,,,,,,
TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain (R-HSA-6804115),1,+,9.11E-01,9.67E-01,9.29E-01,1.04E+00,,,,,,
TP53 Regulates Transcription of Cell Cycle Genes (R-HSA-6791312),1,+,9.11E-01,9.66E-01,9.27E-01,1.58E+00,,,,,,
Virus Assembly and Release (R-HSA-168268),1,-,9.20E-01,9.71E-01,9.26E-01,1.09E+00,,,,,,
ATF6 (ATF6-alpha) activates chaperones (R-HSA-381033),1,-,9.20E-01,9.70E-01,9.25E-01,9.81E-01,,,,,,
ATF6 (ATF6-alpha) activates chaperone genes (R-HSA-381183),1,-,9.20E-01,9.68E-01,9.23E-01,9.88E-01,,,,,,
Assembly of Viral Components at the Budding Site (R-HSA-168316),1,-,9.20E-01,9.67E-01,9.27E-01,1.32E+00,,,,,,
Triglyceride metabolism (R-HSA-8979227),1,+,9.49E-01,9.82E-01,9.28E-01,1.30E+00,,,,,,
Triglyceride catabolism (R-HSA-163560),1,+,9.49E-01,9.81E-01,9.41E-01,9.98E-01,,,,,,
Mitochondrial translation (R-HSA-5368287),1,+,9.58E-01,9.86E-01,9.43E-01,1.00E+00,,,,,,
Mitochondrial translation elongation (R-HSA-5389840),1,+,9.58E-01,9.84E-01,9.50E-01,9.77E-01,,,,,,
Surfactant metabolism (R-HSA-5683826),1,-,9.67E-01,9.91E-01,9.64E-01,9.27E-01,,,,,,
Fibronectin matrix formation (R-HSA-1566977),1,+,9.67E-01,9.89E-01,9.62E-01,9.99E-01,,,,,,
Transcriptional activation of mitochondrial biogenesis (R-HSA-2151201),1,+,9.86E-01,1.00E+00,9.61E-01,1.09E+00,,,,,,
Signaling by Non-Receptor Tyrosine Kinases (R-HSA-9006927),1,-,9.95E-01,1.01E+00,9.59E-01,9.86E-01,,,,,,
"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases (R-HSA-8849471)",1,-,9.95E-01,1.00E+00,9.58E-01,9.82E-01,,,,,,
Signaling by PTK6 (R-HSA-8848021),1,-,9.95E-01,1.00E+00,9.56E-01,1.28E+00,,,,,,
Regulation of cytoskeletal remodeling and cell spreading by IPP complex components (R-HSA-446388),1,-,9.95E-01,1.00E+00,9.64E-01,1.04E+00,,,,,,
Localization of the PINCH-ILK-PARVIN complex to focal adhesions (R-HSA-446343),1,-,9.95E-01,1.00E+00,9.80E-01,1.10E+00,,,,,,
GAB1 signalosome (R-HSA-180292),1,-,9.95E-01,9.98E-01,9.82E-01,9.74E-01,,,,,,
